"시도별","연령계층별",2019,2020,2021,2022,2023
"계","15 - 29세",43.5,42.2,44.2,46.6,46.5
"서울특별시","15 - 29세",47.5,46.6,50.5,51.5,51.8
"부산광역시","15 - 29세",42.9,40.5,41.2,42.0,43.9
"대구광역시","15 - 29세",39.8,37.8,42.6,41.3,42.3
"인천광역시","15 - 29세",48.8,46.8,46.9,50.6,49.2
"광주광역시","15 - 29세",39.6,39.6,37.3,38.8,38.9
"대전광역시","15 - 29세",40.6,44.7,45.0,48.0,44.4
"울산광역시","15 - 29세",39.1,37.6,36.5,40.5,40.3
"세종특별자치시","15 - 29세",35.1,36.6,35.1,33.9,33.1
"경기도","15 - 29세",45.4,43.1,45.5,50.0,49.9
"강원특별자치도","15 - 29세",42.4,40.8,40.2,40.0,43.6
"충청북도","15 - 29세",43.5,43.4,46.2,49.4,47.9
"충청남도","15 - 29세",45.1,42.0,42.4,45.2,44.7
"전북특별자치도","15 - 29세",32.7,31.5,36.5,38.6,38.8
"전라남도","15 - 29세",37.4,37.9,37.2,40.1,39.4
"경상북도","15 - 29세",38.7,38.0,38.7,42.1,39.2
"경상남도","15 - 29세",39.3,37.7,39.4,39.9,39.0
"제주도","15 - 29세",43.7,41.6,42.6,47.5,46.4
